fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,wine_type,flag_free_sulfur_gt_total,total_acidity,sulfur_ratio,residual_sugar_log,chlorides_log,density_alcohol,sugar_to_alcohol,target_is_high_quality
7.2,0.61,0.08,4.0,0.082,26.0,108.0,0.99641,3.25,0.51,9.4,red,False,7.890000000000001,0.24074073851165984,1.6094379124341003,0.07881118042428978,9.366254,0.4255318696242692,0
8.6,0.55,0.09,3.3,0.068,8.0,17.0,0.99735,3.23,0.44,10.0,red,False,9.24,0.47058820761245834,1.4586150226995167,0.0657877405380031,9.9735,0.3299999670000033,0
5.1,0.585,0.0,1.7,0.044,14.0,86.0,0.99264,3.56,0.94,12.9,red,False,5.685,0.16279069578150354,0.9932517730102833,0.04305948946044697,12.805056,0.13178293552070267,1
7.7,0.56,0.08,2.5,0.114,14.0,46.0,0.9971,3.24,0.66,9.6,red,False,8.34,0.3043478194706996,1.252762968495368,0.10795714150509228,9.57216,0.26041663953993344,0
8.4,0.52,0.22,2.7,0.084,4.0,18.0,0.99682,3.26,0.57,9.9,red,False,9.14,0.2222222098765439,1.308332819650179,0.08065790301745447,9.868518,0.27272724517906616,0
8.2,0.28,0.4,2.4,0.052,4.0,10.0,0.99356,3.33,0.7,12.8,red,False,8.879999999999999,0.39999996000000404,1.2237754316221157,0.050693114315518116,12.717568,0.18749998535156365,1
8.4,0.25,0.39,2.0,0.041,4.0,10.0,0.99386,3.27,0.71,12.5,red,False,9.040000000000001,0.39999996000000404,1.0986122886681098,0.04018178963283184,12.42325,0.15999998720000103,1
7.4,0.53,0.12,1.9,0.165,4.0,12.0,0.99702,3.26,0.86,9.2,red,False,8.05,0.3333333055555579,1.0647107369924282,0.1527210870176639,9.172583999999999,0.2065217166824221,0
7.6,0.48,0.31,2.8,0.07,4.0,15.0,0.99693,3.22,0.55,10.3,red,False,8.39,0.2666666488888901,1.33500106673234,0.06765864847381481,10.268379000000001,0.2718446338014919,0
7.3,0.49,0.1,2.6,0.068,4.0,14.0,0.99562,3.3,0.47,10.5,red,False,7.89,0.2857142653061239,1.2809338454620642,0.0657877405380031,10.45401,0.24761902403628344,0
12.9,0.5,0.55,2.8,0.072,7.0,24.0,1.00012,3.09,0.68,10.9,red,False,13.950000000000001,0.2916666545138894,1.33500106673234,0.06952606264861023,10.901307999999998,0.2568807103779165,0
10.8,0.45,0.33,2.5,0.099,20.0,38.0,0.99818,3.24,0.71,10.8,red,False,11.58,0.5263157756232691,1.252762968495368,0.09440067542148432,10.780344,0.23148146004801295,0
6.9,0.39,0.24,2.1,0.102,4.0,7.0,0.99462,3.44,0.58,11.4,red,False,7.53,0.57142848979593,1.1314021114911006,0.09712671073072274,11.338668,0.18421051015697282,0
12.6,0.41,0.54,2.8,0.103,19.0,41.0,0.99939,3.21,0.76,11.3,red,False,13.55,0.4634146228435458,1.33500106673234,0.09803374027136541,11.293107000000001,0.24778758869136383,0
9.8,0.51,0.19,3.2,0.081,8.0,30.0,0.9984,3.23,0.58,10.5,red,False,10.5,0.26666665777777804,1.4350845252893227,0.07788653865707124,10.4832,0.3047618757369642,0
10.8,0.29,0.42,1.6,0.084,19.0,27.0,0.99545,3.28,0.73,11.9,red,False,11.51,0.7037036776406045,0.9555114450274363,0.08065790301745447,11.845855,0.1344537702139689,0
7.1,0.715,0.0,2.35,0.071,21.0,47.0,0.99632,3.29,0.45,9.4,red,False,7.8149999999999995,0.44680850113173404,1.208960345836975,0.06859279146561172,9.365408,0.24999997340425817,0
9.1,0.66,0.15,3.2,0.097,9.0,59.0,0.99976,3.28,0.54,9.6,red,False,9.91,0.15254237029589204,1.4350845252893227,0.0925791812930932,9.597696,0.33333329861111477,0
7.0,0.685,0.0,1.9,0.099,9.0,22.0,0.99606,3.34,0.6,9.7,red,False,7.6850000000000005,0.4090908904958686,1.0647107369924282,0.09440067542148432,9.661781999999999,0.1958762684663641,0
4.9,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74,14.0,red,False,5.32,0.3809523718820864,1.1314021114911006,0.046883585898850416,13.88156,0.14999998928571506,1
6.7,0.54,0.13,2.0,0.076,15.0,36.0,0.9973,3.61,0.64,9.8,red,False,7.37,0.41666665509259293,1.0986122886681098,0.07325046173959267,9.77354,0.20408161182840695,0
7.1,0.48,0.28,2.8,0.068,6.0,16.0,0.99682,3.24,0.53,10.3,red,False,7.86,0.37499997656250145,1.33500106673234,0.0657877405380031,10.267246000000002,0.2718446338014919,0
7.1,0.46,0.14,2.8,0.076,15.0,37.0,0.99624,3.36,0.49,10.7,red,False,7.699999999999999,0.4054053944485029,1.33500106673234,0.07325046173959267,10.659768,0.2616822185343721,0
7.5,0.27,0.34,2.3,0.05,4.0,8.0,0.9951,3.4,0.64,11.0,red,False,8.11,0.4999999375000079,1.1939224684724346,0.048790164169432,10.9461,0.20909089008264636,1
7.8,0.57,0.09,2.3,0.065,34.0,45.0,0.99417,3.46,0.74,12.7,red,False,8.459999999999999,0.7555555387654325,1.1939224684724346,0.06297479916138844,12.625959,0.181102347944697,1
5.9,0.61,0.08,2.1,0.071,16.0,24.0,0.99376,3.56,0.77,11.1,red,False,6.590000000000001,0.66666663888889,1.1314021114911006,0.06859279146561172,11.030736,0.18918917214511966,0
7.5,0.685,0.07,2.5,0.058,5.0,9.0,0.99632,3.38,0.55,10.9,red,False,8.255,0.5555554938271674,1.252762968495368,0.05638033343610764,10.859888,0.22935777712313973,0
10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,3.38,0.86,9.9,red,False,11.26,0.7083333185763893,0.9162907318741551,0.13540463700620295,9.883368,0.15151513621059232,0
11.6,0.47,0.44,1.6,0.147,36.0,51.0,0.99836,3.38,0.86,9.9,red,False,12.51,0.7058823391003464,0.9555114450274363,0.13714983814723364,9.883764000000001,0.16161614529129847,0
8.8,0.685,0.26,1.6,0.088,16.0,23.0,0.99694,3.32,0.47,9.4,red,False,9.745000000000001,0.6956521436672981,0.9555114450274363,0.08434114843375087,9.371236000000001,0.1702127478497077,0
7.6,0.665,0.1,1.5,0.066,27.0,55.0,0.99655,3.39,0.51,9.3,red,False,8.365,0.4909090819834713,0.9162907318741551,0.0639133257436528,9.267915,0.1612903052376016,0
6.7,0.28,0.28,2.4,0.012,36.0,100.0,0.99064,3.26,0.39,11.7,red,False,7.260000000000001,0.3599999964,1.2237754316221157,0.011928570865273802,11.590487999999999,0.20512818759588142,1
10.1,0.31,0.35,1.6,0.075,9.0,28.0,0.99672,3.24,0.83,11.2,red,False,10.76,0.32142855994898,0.9555114450274363,0.07232066157962612,11.163264,0.14285713010204198,1
6.0,0.5,0.04,2.2,0.092,13.0,26.0,0.99647,3.46,0.47,10.0,red,False,6.54,0.49999998076923147,1.1631508098056809,0.0880108773227133,9.9647,0.21999997800000223,0
11.1,0.42,0.47,2.65,0.085,9.0,34.0,0.99736,3.24,0.77,12.1,red,False,11.99,0.2647058745674743,1.2947271675944,0.08157998699242289,12.068056,0.21900824636295485,1
6.6,0.66,0.0,3.0,0.115,21.0,31.0,0.99629,3.45,0.63,10.3,red,False,7.26,0.677419332986473,1.3862943611198906,0.10885440491208209,10.261787,0.2912621076444556,0
10.6,0.5,0.45,2.6,0.119,34.0,68.0,0.99708,3.23,0.72,10.9,red,False,11.549999999999999,0.49999999264705897,1.2809338454620642,0.11243542932978817,10.868172,0.23853208820806532,0
7.1,0.685,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,red,False,8.135,0.09782608589319472,1.0986122886681098,0.08434114843375087,9.36522,0.2127659348121346,0
9.9,0.25,0.46,1.7,0.062,26.0,42.0,0.9959,3.18,0.83,10.6,red,False,10.610000000000001,0.6190476043083905,0.9932517730102833,0.06015392281974709,10.55654,0.160377343360628,0
6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.99689,3.59,0.66,9.8,red,False,7.25,0.45161288865764876,1.0296194171811581,0.07788653865707124,9.769522000000002,0.18367345064556626,0
7.4,0.68,0.16,1.8,0.078,12.0,39.0,0.9977,3.5,0.7,9.9,red,False,8.24,0.3076922998027616,1.0296194171811581,0.07510747248680541,9.87723,0.18181816345271076,0
6.4,0.63,0.21,1.6,0.08,12.0,32.0,0.99689,3.58,0.66,9.8,red,False,7.24,0.3749999882812504,0.9555114450274363,0.07696104113612832,9.769522000000002,0.1632652894627256,0
9.3,0.43,0.44,1.9,0.085,9.0,22.0,0.99708,3.28,0.55,9.5,red,False,10.17,0.4090908904958686,1.0647107369924282,0.08157998699242289,9.47226,0.19999997894737065,0
8.0,0.42,0.32,2.5,0.08,26.0,122.0,0.99801,3.22,1.07,9.7,red,False,8.74,0.21311475235151842,1.252762968495368,0.07696104113612832,9.680696999999999,0.25773193219258433,0
9.3,0.36,0.39,1.5,0.08,41.0,55.0,0.99652,3.47,0.73,10.9,red,False,10.05,0.7454545319008268,0.9162907318741551,0.07696104113612832,10.862068,0.13761466627388383,0
7.6,0.735,0.02,2.5,0.071,10.0,14.0,0.99538,3.51,0.71,11.7,red,False,8.354999999999999,0.7142856632653098,1.252762968495368,0.06859279146561172,11.645946,0.21367519541237648,1
8.2,0.26,0.34,2.5,0.073,16.0,47.0,0.99594,3.4,0.78,11.3,red,False,8.799999999999999,0.3404255246717974,1.252762968495368,0.07045846364856141,11.254122,0.221238918474432,1
11.7,0.28,0.47,1.7,0.054,17.0,32.0,0.99686,3.15,0.67,10.6,red,False,12.45,0.5312499833984381,0.9932517730102833,0.05259245011917058,10.566716,0.160377343360628,1
6.8,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,3.4,0.82,11.2,red,False,7.579999999999999,0.6249999739583344,1.0296194171811581,0.07138999608667293,11.137056,0.1607142713647972,0
7.2,0.62,0.06,2.7,0.077,15.0,85.0,0.99746,3.51,0.54,9.5,red,False,7.88,0.17647058615916958,1.308332819650179,0.07417939817425151,9.47587,0.2842104963988952,0
5.8,1.01,0.66,2.0,0.039,15.0,88.0,0.99357,3.66,0.6,11.5,red,False,7.47,0.170454543517562,1.0986122886681098,0.038258712117090345,11.426055,0.17391302835538885,0
7.5,0.42,0.32,2.7,0.067,7.0,25.0,0.99628,3.24,0.44,10.4,red,False,8.24,0.27999998880000043,1.308332819650179,0.06485097231961633,10.361312000000002,0.2596153596523693,0
7.2,0.62,0.06,2.5,0.078,17.0,84.0,0.99746,3.51,0.53,9.7,red,False,7.88,0.20238094997165537,1.252762968495368,0.07510747248680541,9.675362,0.25773193219258433,0
7.2,0.635,0.07,2.6,0.077,16.0,86.0,0.99748,3.51,0.54,9.7,red,False,7.905,0.1860465094645755,1.2809338454620642,0.07417939817425151,9.675556,0.26804120948028776,0
6.8,0.49,0.22,2.3,0.071,13.0,24.0,0.99438,3.41,0.83,11.3,red,False,7.51,0.5416666440972231,1.1939224684724346,0.06859279146561172,11.236494,0.20353980499647742,0
6.9,0.51,0.23,2.0,0.072,13.0,22.0,0.99438,3.4,0.84,11.2,red,False,7.640000000000001,0.590909064049588,1.0986122886681098,0.06952606264861023,11.137056,0.17857141262755247,0
7.6,0.63,0.03,2.0,0.08,27.0,43.0,0.99578,3.44,0.64,10.9,red,False,8.26,0.6279069621416986,1.0986122886681098,0.07696104113612832,10.854002,0.18348622169851178,0
7.7,0.715,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.57,11.8,red,False,8.425,0.7209302157923206,1.1314021114911006,0.06203539091945264,11.725778,0.17796608661304353,0
6.9,0.56,0.03,1.5,0.086,36.0,46.0,0.99522,3.53,0.57,10.6,red,False,7.490000000000001,0.7826086786389418,0.9162907318741551,0.08250122151174369,10.549332,0.14150942061231883,0
7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.99576,3.43,0.54,10.0,red,False,7.89,0.5833333211805558,1.0986122886681098,0.06485097231961633,9.9576,0.19999998000000202,0
9.1,0.21,0.37,1.6,0.067,6.0,10.0,0.99552,3.23,0.58,11.1,red,False,9.68,0.599999940000006,0.9555114450274363,0.06485097231961633,11.050272,0.14414413115818642,1
10.4,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,3.12,0.65,11.8,red,False,11.240000000000002,0.599999940000006,1.1314021114911006,0.09893994785490356,11.760352000000001,0.17796608661304353,1
8.8,0.31,0.4,2.8,0.109,7.0,16.0,0.99614,3.31,0.79,11.8,red,False,9.510000000000002,0.4374999726562517,1.33500106673234,0.10345870836822998,11.754452,0.23728811548405798,1
7.1,0.47,0.0,2.2,0.067,7.0,14.0,0.99517,3.4,0.58,10.9,red,False,7.569999999999999,0.49999996428571686,1.1631508098056809,0.06485097231961633,10.847353,0.20183484386836298,0
8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,red,False,9.6,0.43478260239445504,1.6094379124341003,0.08984070399978947,9.9787,0.39999996000000404,0
7.2,0.6,0.04,2.5,0.076,18.0,88.0,0.99745,3.53,0.55,9.5,red,False,7.84,0.20454545222107443,1.252762968495368,0.07325046173959267,9.475774999999999,0.263157867036014,0
9.2,0.56,0.18,1.6,0.078,10.0,21.0,0.99576,3.15,0.49,9.9,red,False,9.94,0.47619045351474026,0.9555114450274363,0.07510747248680541,9.858024,0.16161614529129847,0
7.6,0.715,0.0,2.1,0.068,30.0,35.0,0.99533,3.48,0.65,11.4,red,False,8.315,0.857142832653062,1.1314021114911006,0.0657877405380031,11.346762,0.18421051015697282,0
8.4,0.31,0.29,3.1,0.194,14.0,26.0,0.99536,3.22,0.78,12.0,red,False,9.0,0.5384615177514801,1.410986973710262,0.17730901497041035,11.944320000000001,0.25833331180555735,0
8.9,0.75,0.14,2.5,0.086,9.0,30.0,0.99824,3.34,0.64,10.5,red,False,9.790000000000001,0.2999999900000003,1.252762968495368,0.08250122151174369,10.48152,0.23809521541950332,0
9.0,0.8,0.12,2.4,0.083,8.0,28.0,0.99836,3.33,0.65,10.4,red,False,9.92,0.28571427551020445,1.2237754316221157,0.07973496801885356,10.382944,0.23076920857988378,0
10.7,0.52,0.38,2.6,0.066,29.0,56.0,0.99577,3.15,0.79,12.1,red,False,11.6,0.5178571336096941,1.2809338454620642,0.0639133257436528,12.048817,0.2148760152995029,1
6.8,0.57,0.0,2.5,0.072,32.0,64.0,0.99491,3.43,0.56,11.2,red,False,7.37,0.49999999218750013,1.252762968495368,0.06952606264861023,11.142992,0.2232142657844406,0
10.7,0.9,0.34,6.6,0.112,23.0,99.0,1.00289,3.22,0.68,9.3,red,False,11.94,0.23232322997653304,2.028148247292285,0.10616019582839065,9.326877000000001,0.7096773430454469,0
7.2,0.34,0.24,2.0,0.071,30.0,52.0,0.99576,3.44,0.58,10.1,red,False,7.78,0.5769230658284026,1.0986122886681098,0.06859279146561172,10.057176,0.198019782374279,0
7.2,0.66,0.03,2.3,0.078,16.0,86.0,0.99743,3.53,0.57,9.7,red,False,7.890000000000001,0.1860465094645755,1.1939224684724346,0.07510747248680541,9.675070999999999,0.23711337761717757,0
10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,red,False,10.78,0.5555555246913597,1.0647107369924282,0.07881118042428978,9.278982000000001,0.20430105330096202,0
7.2,0.63,0.03,2.2,0.08,17.0,88.0,0.99745,3.53,0.58,9.8,red,False,7.86,0.19318181598657028,1.1631508098056809,0.07696104113612832,9.77501,0.22448977301124767,0
7.1,0.59,0.01,2.3,0.08,27.0,43.0,0.9955,3.42,0.58,10.7,red,False,7.699999999999999,0.6279069621416986,1.1939224684724346,0.07696104113612832,10.65185,0.21495325093894851,0
8.3,0.31,0.39,2.4,0.078,17.0,43.0,0.99444,3.31,0.77,12.5,red,False,9.000000000000002,0.39534882801514354,1.2237754316221157,0.07510747248680541,12.4305,0.19199998464000123,1
8.3,1.02,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,red,False,9.34,0.5454544958677732,1.4816045409242156,0.08065790301745447,10.98812,0.3090908809917381,0
8.9,0.31,0.36,2.6,0.056,10.0,39.0,0.99562,3.4,0.69,11.8,red,False,9.57,0.25641024983563465,1.2809338454620642,0.05448818528406973,11.748316,0.22033896437805386,0
7.4,0.635,0.1,2.4,0.08,16.0,33.0,0.99736,3.58,0.69,10.8,red,False,8.135,0.484848470156107,1.2237754316221157,0.07696104113612832,10.771488000000002,0.22222220164609244,1
6.8,0.59,0.06,6.0,0.06,11.0,18.0,0.9962,3.41,0.59,10.8,red,False,7.449999999999999,0.6111110771604957,1.9459101490553132,0.05826890812397577,10.75896,0.5555555041152311,1
9.2,0.58,0.2,3.0,0.081,15.0,115.0,0.998,3.23,0.59,9.5,red,False,9.979999999999999,0.13043478147448018,1.3862943611198906,0.07788653865707124,9.481,0.31578944044321683,0
7.2,0.54,0.27,2.6,0.084,12.0,78.0,0.9964,3.39,0.71,11.0,red,False,8.01,0.1538461518737673,1.2809338454620642,0.08065790301745447,10.9604,0.23636361487603502,0
6.1,0.56,0.0,2.2,0.079,6.0,9.0,0.9948,3.59,0.54,11.5,red,False,6.66,0.6666665925926009,1.1631508098056809,0.07603468627599762,11.4402,0.19130433119092774,0
7.4,0.52,0.13,2.4,0.078,34.0,61.0,0.99528,3.43,0.59,10.8,red,False,8.05,0.5573770400429994,1.2237754316221157,0.07510747248680541,10.749024000000002,0.22222220164609244,0
7.3,0.305,0.39,1.2,0.059,7.0,11.0,0.99331,3.29,0.52,11.5,red,False,7.994999999999999,0.636363578512402,0.7884573603642702,0.05732506661926941,11.423065000000001,0.10434781701323331,0
9.3,0.38,0.48,3.8,0.132,3.0,11.0,0.99577,3.23,0.57,13.2,red,False,10.160000000000002,0.2727272479338866,1.5686159179138452,0.1239859797809912,13.144164,0.28787876606979046,0
9.1,0.28,0.46,9.0,0.114,3.0,9.0,0.99901,3.18,0.6,10.9,red,False,9.84,0.33333329629630043,2.302585092994046,0.10795714150509228,10.889209,0.825687997643303,0
10.0,0.46,0.44,2.9,0.065,4.0,8.0,0.99674,3.33,0.62,12.2,red,False,10.9,0.4999999375000079,1.3609765531356006,0.06297479916138844,12.160227999999998,0.23770489854877883,0
9.4,0.395,0.46,4.6,0.094,3.0,10.0,0.99639,3.27,0.64,12.2,red,False,10.255,0.299999970000003,1.7227665977411035,0.08984070399978947,12.155958,0.37704914942220086,1
8.6,0.315,0.4,2.2,0.079,3.0,6.0,0.99512,3.27,0.67,11.9,red,False,9.315,0.49999991666668053,1.1631508098056809,0.07603468627599762,11.841928000000001,0.18487393404420724,0
5.3,0.715,0.19,1.5,0.161,7.0,62.0,0.99395,3.62,0.61,11.0,red,False,6.205,0.11290322398543187,0.9162907318741551,0.14928170271575444,10.93345,0.1363636239669433,0
6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1,red,False,7.52,0.5777777649382719,2.2823823856765264,0.08065790301745447,10.082224,0.8712870424468276,0
8.4,0.36,0.32,2.2,0.081,32.0,79.0,0.9964,3.3,0.72,11.0,red,False,9.08,0.40506328601185715,1.1631508098056809,0.07788653865707124,10.9604,0.19999998181818351,0
8.4,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,3.38,0.89,11.8,red,False,9.139999999999999,0.8260869385633275,1.0296194171811581,0.06952606264861023,11.741472000000002,0.1525423599540373,0
9.6,0.41,0.37,2.3,0.091,10.0,23.0,0.99786,3.24,0.56,10.5,red,False,10.379999999999999,0.4347825897920613,1.1939224684724346,0.08709470685093376,10.47753,0.21904759818594302,0
8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,red,False,9.34,0.49999998214285774,1.1939224684724346,0.05354076692802982,11.145792,0.2053571245216853,0
8.6,0.22,0.36,1.9,0.064,53.0,77.0,0.99604,3.47,0.87,11.0,red,False,9.18,0.6883116793725756,1.0647107369924282,0.06203539091945264,10.95644,0.17272725702479483,1
9.4,0.24,0.33,2.3,0.061,52.0,73.0,0.99786,3.47,0.9,10.2,red,False,9.97,0.7123287573653595,1.1939224684724346,0.05921185963184609,10.178171999999998,0.22549017397155158,0
8.4,0.67,0.19,2.2,0.093,11.0,75.0,0.99736,3.2,0.59,9.2,red,False,9.26,0.14666666471111114,1.1631508098056809,0.08892620919440151,9.175711999999999,0.23913040879017303,0
8.7,0.33,0.38,3.3,0.063,10.0,19.0,0.99468,3.3,0.73,12.0,red,False,9.41,0.5263157617728547,1.4586150226995167,0.06109509935981088,11.936160000000001,0.27499997708333523,1
6.6,0.61,0.01,1.9,0.08,8.0,25.0,0.99746,3.69,0.73,10.5,red,False,7.22,0.3199999872000005,1.0647107369924282,0.07696104113612832,10.47333,0.1809523637188225,0
7.4,0.61,0.01,2.0,0.074,13.0,38.0,0.99748,3.48,0.65,9.8,red,False,8.02,0.34210525415512494,1.0986122886681098,0.07138999608667293,9.775304,0.20408161182840695,0
7.6,0.4,0.29,1.9,0.078,29.0,66.0,0.9971,3.45,0.59,9.5,red,False,8.29,0.4393939327364556,1.0647107369924282,0.07510747248680541,9.47245,0.19999997894737065,0
8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.99543,3.39,0.72,11.8,red,False,9.480000000000002,0.26388888522376547,1.1939224684724346,0.05826890812397577,11.746074000000002,0.19491523771904765,0
12.0,0.63,0.5,1.4,0.071,6.0,26.0,0.99791,3.07,0.6,10.4,red,False,13.13,0.23076922189349144,0.8754687373538999,0.06859279146561172,10.378264,0.13461537167159887,0
7.2,0.38,0.38,2.8,0.068,23.0,42.0,0.99356,3.34,0.72,12.9,red,False,7.96,0.5476190345804992,1.33500106673234,0.0657877405380031,12.816924,0.21705424673998086,1
6.2,0.46,0.17,1.6,0.073,7.0,11.0,0.99425,3.61,0.54,11.4,red,False,6.83,0.636363578512402,0.9555114450274363,0.07045846364856141,11.33445,0.14035086488150308,0
9.6,0.33,0.52,2.2,0.074,13.0,25.0,0.99509,3.36,0.76,12.4,red,False,10.45,0.5199999792000009,1.1631508098056809,0.07138999608667293,12.339116,0.17741934053069836,1
9.9,0.27,0.49,5.0,0.082,9.0,17.0,0.99484,3.19,0.52,12.5,red,False,10.66,0.5294117335640156,1.791759469228055,0.07881118042428978,12.4355,0.3999999680000026,1
10.1,0.43,0.4,2.6,0.092,13.0,52.0,0.99834,3.22,0.64,10.0,red,False,10.93,0.24999999519230778,1.2809338454620642,0.0880108773227133,9.9834,0.25999997400000263,1
9.8,0.5,0.34,2.3,0.094,10.0,45.0,0.99864,3.24,0.6,9.7,red,False,10.64,0.22222221728395075,1.1939224684724346,0.08984070399978947,9.686808,0.23711337761717757,1
8.3,0.3,0.49,3.8,0.09,11.0,24.0,0.99498,3.27,0.64,12.1,red,False,9.090000000000002,0.4583333142361119,1.5686159179138452,0.08617769624105233,12.039258,0.31404956082235036,1
10.2,0.44,0.42,2.0,0.071,7.0,20.0,0.99566,3.14,0.79,11.1,red,False,11.059999999999999,0.34999998250000086,1.0986122886681098,0.06859279146561172,11.051826,0.180180163947733,1
10.2,0.44,0.58,4.1,0.092,11.0,24.0,0.99745,3.29,0.99,12.0,red,False,11.219999999999999,0.4583333142361119,1.62924053973028,0.0880108773227133,11.9694,0.3416666381944468,1
8.3,0.28,0.48,2.1,0.093,6.0,12.0,0.99408,3.26,0.62,12.4,red,False,9.06,0.4999999583333368,1.1314021114911006,0.08892620919440151,12.326592,0.16935482505203026,1
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.99552,3.41,0.76,11.9,red,False,9.469999999999999,0.47619045351474026,1.0296194171811581,0.07232066157962612,11.846688,0.15126049149071502,1
8.2,0.31,0.4,2.2,0.058,6.0,10.0,0.99536,3.31,0.68,11.2,red,False,8.91,0.599999940000006,1.1631508098056809,0.05638033343610764,11.148031999999999,0.19642855389030772,1
10.2,0.34,0.48,2.1,0.052,5.0,9.0,0.99458,3.2,0.69,12.1,red,False,11.02,0.5555554938271674,1.1314021114911006,0.050693114315518116,12.034418,0.1735537046649831,1
7.6,0.43,0.4,2.7,0.082,6.0,11.0,0.99538,3.44,0.54,12.2,red,False,8.43,0.5454544958677732,1.308332819650179,0.07881118042428978,12.143635999999999,0.22131145726955273,0
8.5,0.21,0.52,1.9,0.09,9.0,23.0,0.99648,3.36,0.67,10.4,red,False,9.23,0.39130433081285515,1.0647107369924282,0.08617769624105233,10.363392000000001,0.18269229012574134,0
9.0,0.36,0.52,2.1,0.111,5.0,10.0,0.99568,3.31,0.62,11.3,red,False,9.879999999999999,0.499999950000005,1.1314021114911006,0.10526051065749295,11.251184,0.1858406915185229,0
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,red,False,10.389999999999999,0.23529411303344877,1.0986122886681098,0.08434114843375087,11.057042999999998,0.180180163947733,0
6.4,0.57,0.12,2.3,0.12,25.0,36.0,0.99519,3.47,0.71,11.3,red,False,7.090000000000001,0.6944444251543216,1.1939224684724346,0.11332868530700317,11.245647000000002,0.20353980499647742,1
8.0,0.59,0.05,2.0,0.089,12.0,32.0,0.99735,3.36,0.61,10.0,red,False,8.64,0.3749999882812504,1.0986122886681098,0.08525984395082342,9.9735,0.19999998000000202,0
8.5,0.47,0.27,1.9,0.058,18.0,38.0,0.99518,3.16,0.85,11.1,red,False,9.24,0.4736841980609422,1.0647107369924282,0.05638033343610764,11.046498,0.17117115575034633,0
7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,3.27,0.62,9.3,red,False,7.8,0.3888888672839518,0.9555114450274363,0.07510747248680541,9.262056000000001,0.1720429922534417,0
6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.99654,3.38,0.69,9.5,red,False,7.1899999999999995,0.37499997656250145,1.1314021114911006,0.10885440491208209,9.46713,0.22105260831025178,0
8.8,0.27,0.39,2.0,0.1,20.0,27.0,0.99546,3.15,0.69,11.2,red,False,9.46,0.7407407133058995,1.0986122886681098,0.09531017980432487,11.149151999999999,0.17857141262755247,0
8.3,0.34,0.4,2.4,0.065,24.0,48.0,0.99554,3.34,0.86,11.0,red,False,9.040000000000001,0.4999999895833336,1.2237754316221157,0.06297479916138844,10.95094,0.21818179834710924,0
9.0,0.38,0.41,2.4,0.103,6.0,10.0,0.99604,3.13,0.58,11.9,red,False,9.790000000000001,0.599999940000006,1.2237754316221157,0.09803374027136541,11.852876,0.20168065532095333,1
8.5,0.66,0.2,2.1,0.097,23.0,113.0,0.99733,3.13,0.48,9.2,red,False,9.36,0.20353982120761221,1.1314021114911006,0.0925791812930932,9.175436,0.22826084475425604,0
9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.9943,3.2,0.6,12.2,red,False,9.83,0.6304347689035921,1.2237754316221157,0.0657877405380031,12.13046,0.1967212953507135,0
6.7,0.56,0.09,2.9,0.079,7.0,22.0,0.99669,3.46,0.61,10.2,red,False,7.35,0.3181818037190089,1.3609765531356006,0.07603468627599762,10.166237999999998,0.2843136976163042,0
10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,3.33,0.87,10.9,red,False,11.14,0.599999940000006,1.0647107369924282,0.0639133257436528,10.869916,0.17431191061358617,0
10.1,0.38,0.5,2.4,0.104,6.0,13.0,0.99643,3.22,0.65,11.6,red,False,10.98,0.4615384260355057,1.2237754316221157,0.09893994785490356,11.558588,0.20689653388822984,1
8.5,0.34,0.44,1.7,0.079,6.0,12.0,0.99605,3.52,0.63,10.7,red,False,9.28,0.4999999583333368,0.9932517730102833,0.07603468627599762,10.657734999999999,0.15887848982444022,0
8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.99658,3.3,0.62,12.1,red,False,9.540000000000001,0.5384614970414233,1.9315214116032138,0.07045846364856141,12.058618,0.4876032654873335,1
